cnae_subclasse,cnae_mascara,cnae_descricao,item_lc116,descricao_atividade_lc
4221902,4221-9/02,Construção de estações e redes de distribuição de energia elétrica,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221903,4221-9/03,Manutenção de redes de distribuição de energia elétrica,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221904,4221-9/04,Construção de estações e redes de telecomunicações,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221905,4221-9/05,Manutenção de estações e redes de telecomunicações,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4222701,4222-7/01,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4222702,4222-7/02,Obras de irrigação,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4223500,4223-5/00,"Construção de redes de transportes por dutos, exceto para água e esgoto",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4291000,4291-0/00,"Obras portuárias, marítimas e fluviais",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4292801,4292-8/01,Montagem de estruturas metálicas,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4292802,4292-8/02,Obras de montagem industrial,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4299501,4299-5/01,Construção de instalações esportivas e recreativas,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4299599,4299-5/99,Outras obras de engenharia civil não especificadas anteriormente,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4311802,4311-8/02,Preparação de canteiro e limpeza de terreno,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4312600,4312-6/00,Perfurações e sondagens,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4313400,4313-4/00,Obras de terraplenagem,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4319300,4319-3/00,Serviços de preparação do terreno não especificados anteriormente,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4321500,4321-5/00,Instalação e manutenção elétrica,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4322301,4322-3/01,"Instalações hidráulicas, sanitárias e de gás",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4322302,4322-3/02,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4322303,4322-3/03,Instalações de sistema de prevenção contra incêndio,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4329102,4329-1/02,"Instalação de equipamentos para orientação à navegação marítima, fluvial e lacustre",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4329103,4329-1/03,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4329104,4329-1/04,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4329105,4329-1/05,"Tratamentos térmicos, acústicos ou de vibração",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4329199,4329-1/99,Outras obras de instalações em construções não especificadas anteriormente,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330401,4330-4/01,Impermeabilização em obras de engenharia civil,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330402,4330-4/02,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330403,4330-4/03,Obras de acabamento em gesso e estuque,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330404,4330-4/04,Serviços de pintura de edifícios em geral,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330405,4330-4/05,Aplicação de revestimentos e de resinas em interiores e exteriores,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330499,4330-4/99,Outras obras de acabamento da construção,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4391600,4391-6/00,Obras de fundações,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399101,4399-1/01,Administração de obras,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399102,4399-1/02,Montagem e desmontagem de andaimes e outras estruturas temporárias,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399103,4399-1/03,Obras de alvenaria,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399105,4399-1/05,Perfuração e construção de poços de água,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399199,4399-1/99,Serviços especializados para construção não especificados anteriormente,07.02,"7.02 - Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora
 do local da prestação dos serviços, que fica sujeito ao ICMS)."
4110700,4110-7/00,Incorporação de empreendimentos imobiliários,07.03,"7.03 - Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia;
 elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
7111100,7111-1/00,Serviços de arquitetura,07.03,"7.03 - Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia;
 elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
7112000,7112-0/00,Serviços de engenharia,07.03,"7.03 - Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia;
 elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
7119701,7119-7/01,"Serviços de cartografia, topografia e geodésia",07.03,"7.03 - Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia;
 elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia."
4311801,4311-8/01,Demolição de edifícios e outras estruturas,07.04,7.04 - Demolição.
4120400,4120-4/00,Construção de edifícios,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4211101,4211-1/01,Construção de rodovias e ferrovias,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4211102,4211-1/02,Pintura para sinalização em pistas rodoviárias e aeroportos,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4213800,4213-8/00,"Obras de urbanização - ruas, praças e calçadas",07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221901,4221-9/01,Construção de barragens e represas para geração de energia elétrica,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221902,4221-9/02,Construção de estações e redes de distribuição de energia elétrica,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221903,4221-9/03,Manutenção de redes de distribuição de energia elétrica,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4221905,4221-9/05,Manutenção de estações e redes de telecomunicações,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4222701,4222-7/01,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação",07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4299501,4299-5/01,Construção de instalações esportivas e recreativas,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4299599,4299-5/99,Outras obras de engenharia civil não especificadas anteriormente,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4321500,4321-5/00,Instalação e manutenção elétrica,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4322301,4322-3/01,"Instalações hidráulicas, sanitárias e de gás",07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4322302,4322-3/02,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4322303,4322-3/03,Instalações de sistema de prevenção contra incêndio,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4329104,4329-1/04,"Montagem e instalação de sistemas e equipamentos de iluminação e sinalização em vias públicas, portos e aeroportos",07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330403,4330-4/03,Obras de acabamento em gesso e estuque,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330404,4330-4/04,Serviços de pintura de edifícios em geral,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330405,4330-4/05,Aplicação de revestimentos e de resinas em interiores e exteriores,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4330499,4330-4/99,Outras obras de acabamento da construção,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399103,4399-1/03,Obras de alvenaria,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4399199,4399-1/99,Serviços especializados para construção não especificados anteriormente,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
9102302,9102-3/02,Restauração e conservação de lugares e prédios históricos,07.05,"7.05 - Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas
 pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)."
4299599,4299-5/99,Outras obras de engenharia civil não especificadas anteriormente,07.06,"7.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres,
 com material fornecido pelo tomador do serviço."
4330402,4330-4/02,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",07.06,"7.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres,
 com material fornecido pelo tomador do serviço."
4330403,4330-4/03,Obras de acabamento em gesso e estuque,07.06,"7.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres,
 com material fornecido pelo tomador do serviço."
4330405,4330-4/05,Aplicação de revestimentos e de resinas em interiores e exteriores,07.06,"7.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres,
 com material fornecido pelo tomador do serviço."
4330499,4330-4/99,Outras obras de acabamento da construção,07.06,"7.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres,
 com material fornecido pelo tomador do serviço."
4399199,4399-1/99,Serviços especializados para construção não especificados anteriormente,07.06,"7.06 - Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres,
 com material fornecido pelo tomador do serviço."
4299599,4299-5/99,Outras obras de engenharia civil não especificadas anteriormente,07.07,"7.07 - Recuperação, raspagem, polimento e lustração de pisos e congêneres"
4330405,4330-4/05,Aplicação de revestimentos e de resinas em interiores e exteriores,07.07,"7.07 - Recuperação, raspagem, polimento e lustração de pisos e congêneres"
4330499,4330-4/99,Outras obras de acabamento da construção,07.07,"7.07 - Recuperação, raspagem, polimento e lustração de pisos e congêneres"
4399199,4399-1/99,Serviços especializados para construção não especificados anteriormente,07.07,"7.07 - Recuperação, raspagem, polimento e lustração de pisos e congêneres"
4299599,4299-5/99,Outras obras de engenharia civil não especificadas anteriormente,07.08,7.08 - Calafetação.
4330405,4330-4/05,Aplicação de revestimentos e de resinas em interiores e exteriores,07.08,7.08 - Calafetação.
4330499,4330-4/99,Outras obras de acabamento da construção,07.08,7.08 - Calafetação.
4399199,4399-1/99,Serviços especializados para construção não especificados anteriormente,07.08,7.08 - Calafetação.
3701100,3701-1/00,Gestão de redes de esgoto,07.09,"7.09 - Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
3702900,3702-9/00,"Atividades relacionadas a esgoto, exceto a gestão de redes",07.09,"7.09 - Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
3811400,3811-4/00,Coleta de resíduos não-perigosos,07.09,"7.09 - Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
3812200,3812-2/00,Coleta de resíduos perigosos,07.09,"7.09 - Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
3821100,3821-1/00,Tratamento e disposição de resíduos não-perigosos,07.09,"7.09 - Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
3822000,3822-0/00,Tratamento e disposição de resíduos perigosos,07.09,"7.09 - Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer."
